t,Run1,Run2,Run3,Run4
5.995,-0.3,-1,-3.1,-6.5
5.996,-0.3,-1,-3,-6.4
5.997,-0.4,-1.1,-3.1,-6.5
5.998,-0.3,-1,-3.1,-6.5
5.999,-0.3,-1,-3.1,-6.5
6,-0.3,-1,-3,-6.4
6.001,-10932,-32799.5,-107490.1,-180812.6
6.002,-10941.4,-32826.5,-99574.3,-224161.1
6.003,246.9,754.2,11494.1,-13071.6
6.004,231,696.1,3164.4,15347.5
6.005,214,644.9,2079,-2253
6.006,198.4,597.5,1828.6,7816.6
6.007,183.7,553.4,1682.6,1271.7
6.008,170.2,512.7,1557.2,4774.5
6.009,157.7,475,1442.2,2251.9
6.01,146.1,440,1335.8,3393.7
6.011,135.3,407.6,1237.2,2353.1
6.012,125.4,377.6,1146,2655.3
6.013,116.1,349.8,1061.4,2171.4
6.014,107.6,324,983.1,2184.1
6.015,99.7,300.2,910.6,1917.9
6.016,92.3,278.1,843.5,1839.1
6.017,85.6,257.6,781.3,1664.9
6.018,79.3,238.7,723.7,1564.8
6.019,73.5,221.1,670.3,1435.1
6.02,68.1,204.8,620.9,1337.3
