t,s
0,0.5
0.015,0.5
0.03,0.5
0.045,0.5
0.06,0.5
0.075,0.5
0.09,0.5
0.105,0.5
0.12,0.5
0.135,0.5
0.15,0.5
0.165,0.5
0.18,0.5
0.195,0.5
0.21,0.5
0.225,0.5
0.24,0.5
0.255,0.5
0.27,0.5
0.285,0.5
0.3,0.5
0.315,0.5
0.33,0.5
0.345,0.5
0.36,0.5
0.375,0.5
0.39,0.5
0.405,0.5
0.42,0.5
0.435,0.5
0.45,0.5
0.465,0.5
0.48,0.5
0.495,0.5
0.51,0.5
0.525,0.5
0.54,0.5
0.555,0.5
0.57,0.5
0.585,0.5
0.6,0.5
0.615,0.5
0.63,0.5
0.645,0.5
0.66,0.5
0.675,0.5
0.69,0.5
0.705,0.5
0.72,0.5
0.735,0.5
0.75,0.5
0.765,0.5
0.78,0.5
0.795,0.5
0.81,0.5
0.825,0.5
0.84,0.5
0.855,0.5
0.87,0.5
0.885,0.5
0.9,0.5
0.915,0.5
0.93,0.5
0.945,0.5
0.96,0.5
0.975,0.5
0.99,0.5
1.005,0.5
1.02,0.5
1.035,0.5
1.05,0.5
1.065,0.5
1.08,0.5
1.095,0.5
1.11,0.5
1.125,0.5
1.14,0.5
1.155,0.5
1.17,0.5
1.185,0.5
1.2,0.5
1.215,0.5
1.23,0.5
1.245,0.5
1.26,0.5
1.275,0.5
1.29,0.5
1.305,0.5
1.32,0.5
1.335,0.5
1.35,0.5
1.365,0.5
1.38,0.5
1.395,0.5
1.41,0.5
1.425,0.5
1.44,0.5
1.455,0.5
1.47,0.5
1.485,0.5
1.5,0.5
1.515,0.5
1.53,0.5
1.545,0.5
1.56,0.5
1.575,0.5
1.59,0.5
1.605,0.5
1.62,0.5
1.635,0.5
1.65,0.5
1.665,0.5
1.68,0.5
1.695,0.5
1.71,0.5
1.725,0.5
1.74,0.5
1.755,0.5
1.77,0.5
1.785,0.5
1.8,0.5
1.815,0.5
1.83,0.5
1.845,0.5
1.86,0.5
1.875,0.5
1.89,0.5
1.905,0.5
1.92,0.5
1.935,0.5
1.95,0.5
1.965,0.5
1.98,0.5
1.995,0.5
2.01,0.5
