tref,sref,sfsJ_01,sfsJ_02,sfsJ_03
5.99,0.59570543,0.59571077,0.59572187,0.59576199
5.991,0.5957384,0.59574375,0.59575484,0.59579498
5.992,0.59577138,0.59577672,0.59578782,0.59582797
5.993,0.59580436,0.59580971,0.59582081,0.59586097
5.994,0.59583734,0.59584269,0.5958538,0.59589397
5.995,0.59587033,0.59587569,0.59588679,0.59592697
5.996,0.59590333,0.59590868,0.59591979,0.59595998
5.997,0.59593633,0.59594168,0.59595279,0.595993
5.998,0.59596933,0.59597469,0.5959858,0.59602602
5.999,0.59600234,0.5960077,0.59601881,0.59605904
6,0.59603536,0.59604071,0.59605183,0.59609207
6.001,0.59606823,0.59607356,0.59608471,0.5961251
6.002,0.59609979,0.59610502,0.59611619,0.59615813
6.003,0.59612856,0.59613362,0.59614474,0.59618939
6.004,0.59615417,0.59615904,0.59617005,0.59621704
6.005,0.59617681,0.59618149,0.59619237,0.5962412
6.006,0.59619671,0.5962012,0.5962119,0.59626214
6.007,0.59621406,0.59621836,0.59622886,0.59628011
6.008,0.59622905,0.59623316,0.59624345,0.59629538
6.009,0.59624185,0.59624578,0.59625583,0.59630815
6.01,0.59625263,0.59625638,0.59626619,0.59631864
6.011,0.59626154,0.59626511,0.59627465,0.59632704
6.012,0.5962687,0.5962721,0.59628138,0.59633351
6.013,0.59627425,0.59627749,0.5962865,0.59633823
6.014,0.59627831,0.59628139,0.59629013,0.59634133
6.015,0.59628099,0.59628391,0.59629237,0.59634295
6.016,0.59628238,0.59628515,0.59629335,0.59634321
6.017,0.59628259,0.59628521,0.59629314,0.59634223
6.018,0.5962817,0.59628418,0.59629184,0.5963401
6.019,0.59627979,0.59628214,0.59628953,0.59633693
6.02,0.59627693,0.59627915,0.59628629,0.59633279
6.021,0.5962732,0.59627529,0.59628219,0.59632778
6.022,0.59626866,0.59627063,0.59627728,0.59632195
6.023,0.59626336,0.59626523,0.59627164,0.59631539
6.024,0.59625737,0.59625913,0.59626531,0.59630814
6.025,0.59625074,0.59625239,0.59625835,0.59630027
6.026,0.59624351,0.59624506,0.59625081,0.59629183
6.027,0.59623572,0.59623718,0.59624272,0.59628287
6.028,0.59622742,0.59622879,0.59623413,0.59627342
6.029,0.59621865,0.59621993,0.59622508,0.59626354
6.03,0.59620943,0.59621063,0.59621561,0.59625325
6.031,0.59619981,0.59620093,0.59620573,0.59624259
6.032,0.59618981,0.59619085,0.59619549,0.59623158
6.033,0.59617946,0.59618043,0.5961849,0.59622027
6.034,0.59616878,0.59616969,0.59617401,0.59620867
6.035,0.5961578,0.59615865,0.59616282,0.59619681
6.036,0.59614655,0.59614733,0.59615137,0.5961847
6.037,0.59613503,0.59613576,0.59613966,0.59617238
6.038,0.59612328,0.59612396,0.59612773,0.59615985
6.039,0.5961113,0.59611193,0.59611558,0.59614714
6.04,0.59609912,0.5960997,0.59610324,0.59613425
