t,kappa
0,0.45435
0.01,0.45429
0.02,0.45412
0.03,0.45384
0.04,0.45347
0.05,0.45301
0.06,0.45248
0.07,0.4519
0.08,0.45128
0.09,0.45065
0.1,0.45002
0.11,0.44944
0.12,0.4489
0.13,0.44845
0.14,0.4481
0.15,0.44786
0.16,0.44777
0.17,0.44782
0.18,0.44804
0.19,0.44844
0.2,0.449
0.21,0.44975
0.22,0.45067
0.23,0.45175
0.24,0.45298
0.25,0.45435
0.26,0.45583
0.27,0.4574
0.28,0.45903
0.29,0.46069
0.3,0.46236
0.31,0.46399
0.32,0.46555
0.33,0.467
0.34,0.46832
0.35,0.46947
0.36,0.47041
0.37,0.47112
0.38,0.47158
0.39,0.47175
0.4,0.47163
0.41,0.4712
0.42,0.47046
0.43,0.4694
0.44,0.46803
0.45,0.46636
0.46,0.46441
0.47,0.46221
0.48,0.45977
0.49,0.45714
0.5,0.45435
0.51,0.45144
0.52,0.44847
0.53,0.44548
0.54,0.44253
0.55,0.43966
0.56,0.43693
0.57,0.43439
0.58,0.4321
0.59,0.43009
0.6,0.42842
0.61,0.42712
0.62,0.42623
0.63,0.42578
0.64,0.42578
0.65,0.42626
0.66,0.42721
0.67,0.42864
0.68,0.43054
0.69,0.43289
0.7,0.43565
0.71,0.4388
0.72,0.4423
0.73,0.4461
0.74,0.45013
0.75,0.45435
0.76,0.45867
0.77,0.46305
0.78,0.46739
0.79,0.47164
0.8,0.47571
0.81,0.47954
0.82,0.48305
0.83,0.48619
0.84,0.48888
0.85,0.49107
0.86,0.49273
0.87,0.4938
0.88,0.49425
0.89,0.49407
0.9,0.49324
0.91,0.49176
0.92,0.48964
0.93,0.4869
0.94,0.48358
0.95,0.47972
0.96,0.47536
0.97,0.47057
0.98,0.46542
0.99,0.45998
1,0.45435
1.01,0.44865
1.02,0.44305
1.03,0.43762
1.04,0.43246
1.05,0.42764
1.06,0.42324
1.07,0.41934
1.08,0.41598
1.09,0.41324
1.1,0.41113
1.11,0.40972
1.12,0.409
1.13,0.409
1.14,0.40972
1.15,0.41113
1.16,0.41324
1.17,0.41598
1.18,0.41934
1.19,0.42324
1.2,0.42764
1.21,0.43246
1.22,0.43762
1.23,0.44305
1.24,0.44865
1.25,0.45435
1.26,0.46004
1.27,0.46564
1.28,0.47107
1.29,0.47623
1.3,0.48105
1.31,0.48545
1.32,0.48935
1.33,0.49271
1.34,0.49546
1.35,0.49756
1.36,0.49898
1.37,0.49969
1.38,0.49969
1.39,0.49898
1.4,0.49756
1.41,0.49546
1.42,0.49271
1.43,0.48935
1.44,0.48545
1.45,0.48105
1.46,0.47623
1.47,0.47107
1.48,0.46564
1.49,0.46004
1.5,0.45435
1.51,0.44865
1.52,0.44305
1.53,0.43762
1.54,0.43246
1.55,0.42764
1.56,0.42324
1.57,0.41934
1.58,0.41598
1.59,0.41324
1.6,0.41113
1.61,0.40972
1.62,0.409
1.63,0.409
1.64,0.40972
1.65,0.41113
1.66,0.41324
1.67,0.41598
1.68,0.41934
1.69,0.42324
1.7,0.42764
1.71,0.43246
1.72,0.43762
1.73,0.44305
1.74,0.44865
1.75,0.45435
1.76,0.46004
1.77,0.46564
1.78,0.47107
1.79,0.47623
1.8,0.48105
1.81,0.48545
1.82,0.48935
1.83,0.49271
1.84,0.49546
1.85,0.49756
1.86,0.49898
1.87,0.49969
1.88,0.49969
1.89,0.49898
1.9,0.49756
1.91,0.49546
1.92,0.49271
1.93,0.48935
1.94,0.48545
1.95,0.48105
1.96,0.47623
1.97,0.47107
1.98,0.46564
1.99,0.46004
2,0.45435
2.01,0.44865
2.02,0.44305
2.03,0.43762
2.04,0.43246
2.05,0.42764
2.06,0.42324
2.07,0.41934
2.08,0.41598
2.09,0.41324
2.1,0.41113
2.11,0.40972
2.12,0.409
2.13,0.409
2.14,0.40972
2.15,0.41113
2.16,0.41324
2.17,0.41598
2.18,0.41934
2.19,0.42324
2.2,0.42764
2.21,0.43246
2.22,0.43762
2.23,0.44305
2.24,0.44865
2.25,0.45435
2.26,0.46004
2.27,0.46564
2.28,0.47107
2.29,0.47623
2.3,0.48105
2.31,0.48545
2.32,0.48935
2.33,0.49271
2.34,0.49546
2.35,0.49756
2.36,0.49898
2.37,0.49969
2.38,0.49969
2.39,0.49898
2.4,0.49756
2.41,0.49546
2.42,0.49271
2.43,0.48935
2.44,0.48545
2.45,0.48105
2.46,0.47623
2.47,0.47107
2.48,0.46564
2.49,0.46004
2.5,0.45435
2.51,0.44865
2.52,0.44305
2.53,0.43762
2.54,0.43246
2.55,0.42764
2.56,0.42324
2.57,0.41934
2.58,0.41598
2.59,0.41324
2.6,0.41113
2.61,0.40972
2.62,0.409
2.63,0.409
2.64,0.40972
2.65,0.41113
2.66,0.41324
2.67,0.41598
2.68,0.41934
2.69,0.42324
2.7,0.42764
2.71,0.43246
2.72,0.43762
2.73,0.44305
2.74,0.44865
2.75,0.45435
2.76,0.46004
2.77,0.46564
2.78,0.47107
2.79,0.47623
2.8,0.48105
2.81,0.48545
2.82,0.48935
2.83,0.49271
2.84,0.49546
2.85,0.49756
2.86,0.49898
2.87,0.49969
2.88,0.49969
2.89,0.49898
2.9,0.49756
2.91,0.49546
2.92,0.49271
2.93,0.48935
2.94,0.48545
2.95,0.48105
2.96,0.47623
2.97,0.47107
2.98,0.46564
2.99,0.46004
3,0.45435
3.01,0.44865
3.02,0.44305
3.03,0.43762
3.04,0.43246
3.05,0.42764
3.06,0.42324
3.07,0.41934
3.08,0.41598
3.09,0.41324
3.1,0.41113
3.11,0.40972
3.12,0.409
3.13,0.409
3.14,0.40972
3.15,0.41113
3.16,0.41324
3.17,0.41598
3.18,0.41934
3.19,0.42324
3.2,0.42764
3.21,0.43246
3.22,0.43762
3.23,0.44305
3.24,0.44865
3.25,0.45435
3.26,0.46004
3.27,0.46564
3.28,0.47107
3.29,0.47623
3.3,0.48105
3.31,0.48545
3.32,0.48935
3.33,0.49271
3.34,0.49546
3.35,0.49756
3.36,0.49898
3.37,0.49969
3.38,0.49969
3.39,0.49898
3.4,0.49756
3.41,0.49546
3.42,0.49271
3.43,0.48935
3.44,0.48545
3.45,0.48105
3.46,0.47623
3.47,0.47107
3.48,0.46564
3.49,0.46004
3.5,0.45435
3.51,0.44865
3.52,0.44305
3.53,0.43762
3.54,0.43246
3.55,0.42764
3.56,0.42324
3.57,0.41934
3.58,0.41598
3.59,0.41324
3.6,0.41113
