t,s
0,0.5
0.04,0.5
0.08,0.5
0.12,0.5
0.16,0.5
0.2,0.5
0.24,0.5
0.28,0.5
0.32,0.5
0.36,0.5
0.4,0.5
0.44,0.5
0.48,0.5
0.52,0.5
0.56,0.5
0.6,0.5
0.64,0.5
0.68,0.5
0.72,0.5
0.76,0.5
0.8,0.5
0.84,0.5
0.88,0.5
0.92,0.5
0.96,0.5
1,0.5
1.04,0.5
1.08,0.5
1.12,0.5
1.16,0.5
1.2,0.5
1.24,0.5
1.28,0.5
1.32,0.5
1.36,0.5
1.4,0.5
1.44,0.5
1.48,0.5
1.52,0.5
1.56,0.5
1.6,0.5
1.64,0.5
1.68,0.5
1.72,0.5
1.76,0.5
1.8,0.5
1.84,0.5
1.88,0.5
1.92,0.5
1.96,0.5
2,0.5
2.04,0.5
2.08,0.5
2.12,0.50145036
2.16,0.50159188
2.2,0.50240406
2.24,0.50310422
2.28,0.50366932
2.32,0.50441637
2.36,0.50505822
2.4,0.50574446
2.44,0.50644339
2.48,0.50712825
2.52,0.50783704
2.56,0.50854377
2.6,0.50925919
2.64,0.50998312
2.68,0.51071179
2.72,0.5114492
2.76,0.512193
2.8,0.51294409
2.84,0.51370258
2.88,0.51446804
2.92,0.51524086
2.96,0.51602076
3,0.51680777
3.04,0.51760184
3.08,0.51840284
3.12,0.51921072
3.16,0.52002537
3.2,0.52084669
3.24,0.5216746
3.28,0.522509
3.32,0.52334982
3.36,0.524197
3.4,0.52505048
3.44,0.52591023
3.48,0.52677625
3.52,0.52764853
3.56,0.5285271
3.6,0.529412
3.64,0.5303033
3.68,0.53120106
3.72,0.53210536
3.76,0.5330163
3.8,0.53393399
3.84,0.53485853
3.88,0.53579004
3.92,0.53672861
3.96,0.53767437
4,0.53862741
4.04,0.53958782
4.08,0.54055569
4.12,0.54153109
4.16,0.54251408
4.2,0.54350468
4.24,0.54450291
4.28,0.54550879
4.32,0.54652228
4.36,0.54754334
4.4,0.54857192
4.44,0.54960795
4.48,0.55065134
4.52,0.55170198
4.56,0.55275978
4.6,0.55382464
4.64,0.55489644
4.68,0.55597509
4.72,0.55706049
4.76,0.55815258
4.8,0.55925128
4.84,0.56035656
4.88,0.56146839
4.92,0.56258675
4.96,0.56371167
5,0.56484318
5.04,0.56598132
5.08,0.56712617
5.12,0.5682778
5.16,0.56943631
5.2,0.5706018
5.24,0.57177438
5.28,0.57295416
5.32,0.57414126
5.36,0.57533579
5.4,0.57653786
5.44,0.57774757
5.48,0.57896502
5.52,0.58019026
5.56,0.58142338
5.6,0.58266442
5.64,0.58391339
5.68,0.5851703
5.72,0.58643515
5.76,0.58770789
5.8,0.58898848
5.84,0.59027684
5.88,0.59157288
5.92,0.59287652
5.96,0.59418765
6,0.59550615
6.04,0.59683194
6.08,0.59816489
6.12,0.59366679
6.16,0.59805497
6.2,0.591788
6.24,0.59729297
6.28,0.5901832
6.32,0.59636038
6.36,0.58863709
6.4,0.59533576
6.44,0.58713078
6.48,0.59419566
6.52,0.58569881
6.56,0.59289485
6.6,0.58438606
6.64,0.5913988
6.68,0.58322343
6.72,0.58970386
6.76,0.58220989
6.8,0.58784575
6.84,0.5813064
6.88,0.58589185
6.92,0.58044664
6.96,0.58392013
7,0.57956008
7.04,0.5819957
7.08,0.57859445
7.12,0.58015663
7.16,0.57752644
7.2,0.5784132
7.24,0.57635869
7.28,0.57675635
7.32,0.57510895
7.36,0.57516809
7.4,0.57379902
7.44,0.57362884
7.48,0.57244729
7.52,0.57212075
7.56,0.57106558
7.6,0.57062826
7.64,0.56965894
7.68,0.56913781
7.72,0.56822711
7.76,0.56763766
7.8,0.5667665
7.84,0.56611815
7.88,0.56527237
7.92,0.56457223
7.96,0.56374061
8,0.56299565
8.04,0.56216906
8.08,0.56138687
8.12,0.56055808
8.16,0.55974641
8.2,0.55891024
8.24,0.55807612
8.28,0.55722956
8.32,0.55637846
8.36,0.55552043
8.4,0.55465616
8.44,0.55378702
8.48,0.5529121
8.52,0.55203305
8.56,0.55114931
8.6,0.55026193
8.64,0.54937091
8.68,0.54847679
8.72,0.54757981
8.76,0.5466802
8.8,0.5457781
8.84,0.5448735
8.88,0.54396628
8.92,0.54305612
8.96,0.54214261
9,0.54122513
9.04,0.54030297
9.08,0.53937531
9.12,0.53844127
9.16,0.53749993
9.2,0.53655039
9.24,0.53559182
9.28,0.53462346
9.32,0.53364467
9.36,0.53265497
9.4,0.53165402
9.44,0.53064163
9.48,0.52961777
9.52,0.5285825
9.56,0.52753603
9.6,0.52647861
9.64,0.52541055
9.68,0.52433216
9.72,0.52324378
9.76,0.52214572
9.8,0.52103827
9.84,0.51992172
9.88,0.51879632
9.92,0.51766232
9.96,0.51651999
10,0.51536956
10.04,0.51421127
