Actuated Double Pendulum 2020-06-19 11:32:41 Coord: Cartesian. Integration: Monolithic. Time-step = 5e-05
t, kappa, pos_1, pos_2, pos_3, pos_4, pos_5, pos_6, pos_7, vel_1, vel_2, vel_3, vel_4, vel_5, vel_6, vel_7, acc_1, acc_2, acc_3, acc_4, acc_5, acc_6, acc_7, p_1, p_2, pd_1, pd_2, lambda_1, lambda_2, lambda_3, lambda_4, lambda_5, F, violC
0,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5511151e-17,0.5,0,0,0,0,0,0,0,2.3434655e-15,-1.5543122e-15,4.686931e-15,-5.3290705e-15,0,-5.3290705e-15,-2.6645353e-15,3170846.2,4529153.8,-1.874791e-06,1.8858726e-06,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,1.110223e-16
0.01,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5807964e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.02,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5805022e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.03,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5802079e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.04,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5799137e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.05,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5796195e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.06,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5793252e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.07,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.579031e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.08,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5787367e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.09,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5784425e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
0.1,0.45434559,0.4330127,0.25,0.8660254,0.5,0.8660254,-5.5781482e-17,0.5,-1.7897859e-20,4.9875809e-20,-3.1713369e-20,1.0211362e-19,0,1.0332064e-19,4.0427781e-20,-4.6452834e-16,1.2944971e-15,-8.2310174e-16,2.6502987e-15,-0,2.6816261e-15,1.0492791e-15,3170846.2,4529153.8,0,0,-8829,-7.8026253e-13,-3433.5,981,-8829,8829,0
