t,s,sd,p1,p2,f
0,0.5,0,3.1708e+06,4.5292e+06,8829
0.01,0.5,1.4e-05,3.1701e+06,4.5299e+06,8837.6
0.02,0.5,0.00010217,3.1678e+06,4.5322e+06,8858.7
0.03,0.5,0.00030824,3.1641e+06,4.5359e+06,8886
0.04,0.50001,0.00065194,3.1592e+06,4.5408e+06,8915.5
0.05,0.50002,0.0011372,3.1532e+06,4.5468e+06,8944.4
0.06,0.50003,0.001757,3.1464e+06,4.5536e+06,8970.7
0.07,0.50005,0.0024961,3.139e+06,4.561e+06,8993
0.08,0.50008,0.003333,3.1313e+06,4.5687e+06,9010
0.09,0.50012,0.0042416,3.1235e+06,4.5765e+06,9020.9
0.1,0.50017,0.005192,3.1158e+06,4.5842e+06,9025
0.11,0.50022,0.0061516,3.1087e+06,4.5913e+06,9021.7
0.12,0.50029,0.0070859,3.1023e+06,4.5977e+06,9010.9
0.13,0.50036,0.0079599,3.097e+06,4.603e+06,8992.5
0.14,0.50045,0.0087384,3.093e+06,4.607e+06,8966.7
0.15,0.50054,0.0093875,3.0906e+06,4.6094e+06,8933.7
0.16,0.50063,0.009875,3.0899e+06,4.6101e+06,8894.2
0.17,0.50074,0.010172,3.0911e+06,4.6089e+06,8848.9
0.18,0.50084,0.010251,3.0943e+06,4.6057e+06,8798.5
0.19,0.50094,0.010092,3.0997e+06,4.6003e+06,8744.2
0.2,0.50104,0.0096773,3.1073e+06,4.5927e+06,8687.1
0.21,0.50113,0.008996,3.1171e+06,4.5829e+06,8628.4
0.22,0.50122,0.0080425,3.1289e+06,4.5711e+06,8569.5
0.23,0.50129,0.0068177,3.1428e+06,4.5572e+06,8511.8
0.24,0.50135,0.005329,3.1585e+06,4.5415e+06,8456.7
0.25,0.5014,0.0035902,3.1758e+06,4.5242e+06,8405.6
0.26,0.50142,0.001622,3.1945e+06,4.5055e+06,8359.8
0.27,0.50143,-0.00054889,3.2142e+06,4.4858e+06,8320.8
